Nationality,First Language,University Name,Level of Study,How long have you been studying in English-medium Institution?,"Reading Comprehension 
(Understanding academic text)",Listening Skills (Understanding lectures and spoken English),Speaking Skills (Fluency and confidence in spoken communication),Writing Skills (Ability to write academic papers and assignments),I have recived formal English language education since childhood.,My school education prepared me well for English-medium university studies.,My English proficiency has improved since I started my university studies.,English is necessary for my academics success in India.,"Even without strong English proficiency, I believe I can succeed in my studies.","I regularly parctice English outside my academics studies. (Watching moveis, reading books, or speaking with friends)",My motivation to learn English is influenced by career opportunities.,The region I come from has influenced my English Proficiency.,"I actively seek opportunities to improve my English skills. ( joining language courses, speaking clubs, or tutoring)","In a multilingual country like India, English is necessary for effective communication.",My home country's education system provided strong English Language training.,I think foreign students face more language difficulties compared to Indian students in Indian Universities.,Indian students also face challenges with academic English despite growing up in a multilingual environment.,"Language support programs (such as English courses, peer tutoring, or writing centers) should be improved in Indian Universities.",My university provides enough language support for students struggling with English.,"More resources (such as language courses, tutoring, or language labs) should be available to help students improve their English proficiency.",I believe my English skills will improve through social interaction with peers and faculty members.,Language barriers have affected my ability to form friendships and participate in university activities.,What challenges have you faced in learning or using English at your university ?,What strategies or resources have helped you improve your English proficiency ?,"Do you think your university should implement new languages support programs? Yes, what kind ?"
Sri Lankan,Sinhalese,Lucknow,Postgraduate,1-5 years,Moderate,Moderate,Moderate,Moderate,Agree,Disagree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly Agree,I have difficulty understanding because the English accent is different.,English movies,Yes. Spoken English courses
Indian,Marathi,English and Foreign Language University Hyderabad,Postgraduate,More than 5 years,Very strong,Very Strong,Strong,Strong,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Disagree,Getting right vocabulary during the conversation is tough for me and I usually use simpler words while speaking than writing.,"Reading Novels, Listening to dialogues...",We do have a programs of such kind but I think that the prices should be lowered so it can be accessible to all.
Indian,Hindi,University of Lucknow,Postgraduate,More than 5 years,Strong,Strong,Strong,Strong,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Language barrier,Making notes nad revise them,"Yes, joyful activities"
Srilankan,Sinhala,University of lucknow,Postgraduate,More than 5 years,Strong,Strong,Moderate,Strong,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Language Barrier,Limited Vocabulary,Academic Writing Workshop
Indian,Hindi,University of Lucknow,Postgraduate,More than 5 years,Strong,Strong,Moderate,Moderate,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Because professor's first language is hindi ...nd we connect with that more,Through making friends ....readings english contents,"Yes I think so specially for the foreign students.... whenever the university check the abilities of the future professors ....they should check the fluency of English also, if not so then the professors should try to help the students with language barriers personally"
Sudan,Arabic,Symbiosis International University,Undergraduate,1-5 years,Very strong,Very Strong,Strong,Moderate,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,During my learning journey it was quite difficult for me to speak smoothly.,"I used to listen to Podcasts, reading books and joining online platforms for speaking practice","I don’t they need to, since everyone is pretty good with English, however they may add some professional English courses."
Indian,English,university of Lucknow,Postgraduate,More than 5 years,Moderate,Moderate,Strong,Strong,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,People understand less,Pratice day and bring its in our routine,no
Sri lankan,Sihala,University of mysore,Postgraduate,More than 5 years,Strong,Strong,Moderate,Strong,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Null,Null,Null
Liberian,English,Datta Meghe Institute of Higher Education,Undergraduate,More than 5 years,Strong,Very Strong,Moderate,Strong,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,"My peers don't understand my accent, due that I struggle to make the understand.",Watching YouTube videos,N/A
BANGLADESH,Bangla,Jahangirnagar University,Postgraduate,1-5 years,Moderate,Moderate,Moderate,Moderate,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Agree,"Since our mother tongue Bangla so, we all feel comfortable speaking in Bengali. Also, most of our students are shy to speak in English thats why we have less chance of communicate in English",Watching english movie,"Yes, They can open English language club, arrange seminar for learn english"
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,Moderate,Moderate,Moderate,Moderate,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Atmosphere,Atmosphere,Yes
Jamaica,Patois,Symbiosis,Undergraduate,More than 5 years,Strong,Strong,Strong,Strong,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,fact that hindi is used in class,reading literature,"yes, 3 credit courses prolly"
